gene_symbol,n_lines_screened,mean_chronos,median_chronos,frac_essential,frac_strongly_essential
TRIM41,1208,-0.043325616084804945,-0.03222747768456034,0.0033112582781456954,0.0008278145695364238
PRAMEF12,1208,-0.12344386667453275,-0.11444069298456935,0.014072847682119206,0.0
PCGF6,1208,-0.1697648366385079,-0.16716530515415118,0.014072847682119206,0.0
RNF166,1208,0.01751053378422729,0.013490173401154399,0.0041390728476821195,0.0
UBA7,1208,-0.09705590028107103,-0.09840288043086051,0.0024834437086092716,0.0
NEURL1B,1208,-0.00933003239517212,-0.00698526871696445,0.0024834437086092716,0.0
JADE2,1208,-0.0054542620695577386,0.0101961911124771,0.009933774834437087,0.0
CCAR1,1208,-0.7510803180534483,-0.7409281140906954,0.7731788079470199,0.20943708609271522
SPOPL,1208,-0.06854487263154138,-0.06528020039641885,0.0033112582781456954,0.0
SH3RF1,1208,0.08505753026957845,0.08514081415279551,0.0,0.0
SENP6,1208,-1.188236756918912,-1.1765918202940477,0.9793046357615894,0.6978476821192053
MKRN1,1208,-0.30760822470208776,-0.2987261379135956,0.10347682119205298,0.0
HERC4,1208,0.0031516930543655152,0.011692999595188651,0.0033112582781456954,0.0
SIRT7,1208,-0.1269108559376999,-0.12921550657610287,0.0347682119205298,0.0008278145695364238
MDM4,1208,-0.15729994678412884,-0.06257688362063296,0.11754966887417219,0.03559602649006623
BTBD9,1208,-0.1752222992781243,-0.1683615059748024,0.0347682119205298,0.0
TRIM27,1208,0.03546416389309818,0.03549260957510795,0.0024834437086092716,0.0
TRIM4,1208,-0.03128948257018087,-0.028535442266576,0.013245033112582781,0.0
SPSB1,1208,-0.01620408461641698,-0.0126285289885753,0.0024834437086092716,0.0
DCAF6,1208,-0.27037198312489885,-0.2630091742446783,0.0695364238410596,0.0
FBXO9,1208,-0.11652480552662262,-0.11741001109687345,0.0024834437086092716,0.0
COMMD9,1208,-0.09416384818679668,-0.08181307651774244,0.006622516556291391,0.0
PHF12,1208,-0.5603132444538808,-0.5476897888986987,0.5596026490066225,0.08774834437086093
UBE2N,1208,-1.1852883059427077,-1.1821151477523166,0.9039735099337748,0.652317880794702
RNF125,1208,0.03673923581679765,0.035413960377940354,0.0008278145695364238,0.0
TSPAN17,1208,-0.03494213767736254,-0.0286888901315771,0.0074503311258278145,0.0
TRIM14,1208,-0.11095383803409416,-0.11055507363742605,0.0041390728476821195,0.0
RNF149,1208,-0.031513731397356304,-0.0386850418319235,0.004966887417218543,0.0
CUL1,1208,-0.7984632795999407,-0.7830834517878769,0.8485099337748344,0.21937086092715233
PIN1,1208,-0.03876931911116444,-0.03808132588690975,0.0041390728476821195,0.0
SKP1,1208,-1.2813074867452217,-1.281363056764934,0.9942052980132451,0.8584437086092715
TRIM60,1208,0.0660519171217735,0.0650192559853578,0.0,0.0
PCMTD1,1208,-0.114220126389205,-0.10631076069933645,0.027317880794701987,0.0
ANAPC10,1208,-1.1852187121364133,-1.1926928363219385,0.9817880794701986,0.8509933774834437
UBE2J1,1208,0.0037453293269606694,0.0193239246534022,0.01076158940397351,0.0
KLHL8,1208,0.15545623304534217,0.16018920117396152,0.0008278145695364238,0.0008278145695364238
TMEM129,1208,-0.02402596059565569,-0.02306948020241345,0.0033112582781456954,0.0
CDKN2A,1208,0.15969203791238787,0.15377047744492317,0.0024834437086092716,0.0
DCAF8,1208,-0.06867056946609917,-0.0639868953122794,0.011589403973509934,0.0
KLHL13,1208,0.0208413831592992,0.026384909491155302,0.0016556291390728477,0.0
KDM2B,1208,-0.04038342350730581,-0.046077205441298896,0.005794701986754967,0.0008278145695364238
DCUN1D1,1208,-0.05773197847896691,-0.049400016661455,0.0074503311258278145,0.0
CDK5,1208,-0.08425251687248698,-0.0764417336187259,0.006622516556291391,0.0
MID1,1208,0.15980147581095475,0.15253195692441116,0.0,0.0
FEM1B,1208,-0.12255414527348737,-0.1162076583787134,0.0173841059602649,0.0008278145695364238
RNF214,1208,-0.06428189180212968,-0.0637569857899003,0.0041390728476821195,0.0
DCAF11,1208,-0.0007394680224572358,-0.0005215568784342,0.0016556291390728477,0.0
RC3H1,1208,-0.16191965892819235,-0.1642553747403075,0.046357615894039736,0.0
MID2,1208,-0.07369181165702947,-0.07026378572149815,0.0033112582781456954,0.0
ZYG11A,1208,-0.018445134197337138,-0.02005780428177635,0.0,0.0
CUL2,1208,-0.6199446899584895,-0.6098023442681894,0.6399006622516556,0.1216887417218543
CUL9,1208,-0.15968354521726552,-0.15622060916306407,0.01903973509933775,0.0
ARIH2,1208,0.04810122505381485,0.041974755094249,0.013245033112582781,0.0008278145695364238
KCMF1,1208,-0.7998952809508393,-0.7890162010206403,0.8286423841059603,0.23758278145695363
ANAPC7,1208,-0.17867468312712856,-0.17043609284938,0.043874172185430466,0.0
ZNRF2,1208,0.02298831872171864,0.02200520192032225,0.0041390728476821195,0.0
CNOT4,1208,-0.039335121785539,-0.028769054981692348,0.0347682119205298,0.0008278145695364238
TOMM22,1208,-1.2458668843572214,-1.2338251464182903,0.9917218543046358,0.8269867549668874
RNF167,1208,0.08800515860649002,0.08237873613812094,0.0,0.0
MSL1,1208,-0.3653911984071347,-0.3586611574895246,0.26490066225165565,0.009105960264900662
ARMC5,1208,-0.3959709917234694,-0.34805329815062624,0.29304635761589404,0.05132450331125828
MAP3K1,1208,-0.10283607577419608,-0.10233751560931564,0.0074503311258278145,0.0008278145695364238
PRAMEF1,1047,0.007330575864339622,0.0118704664666792,0.0038204393505253103,0.0
FBXW12,1208,-0.18133931327953423,-0.17351224766816437,0.022350993377483443,0.0
UBE2V1,1208,-0.5119499960879942,-0.5086612087022906,0.5149006622516556,0.019867549668874173
RNF146,1208,0.0595406301994758,0.0588456644770113,0.0173841059602649,0.0016556291390728477
FBXO11,1208,-0.19589214338594815,-0.15867815605897484,0.15314569536423842,0.014072847682119206
FBXO32,1208,0.11694880562021978,0.1163514806935345,0.0,0.0
TRIM71,1208,-0.0737200102847603,-0.0645688432716463,0.012417218543046357,0.0008278145695364238
ZYG11B,1208,-0.16872277984242046,-0.16504078751168916,0.02152317880794702,0.0
FBXL12,1208,-0.10557070106440927,-0.0945813832583997,0.023178807947019868,0.0008278145695364238
LMBR1L,1208,-0.14751393945081542,-0.14852713913433963,0.009105960264900662,0.0
FBXL18,1208,-0.1485715029000109,-0.13378119801857846,0.029801324503311258,0.004966887417218543
FBXO46,1208,-0.01887564078105841,-0.0118266292471303,0.0033112582781456954,0.0
DTX4,1208,-0.009291973769727901,-0.0104612480565466,0.0,0.0
RNF114,1208,-0.033366775370548954,-0.02998632366770755,0.0024834437086092716,0.0
TRPC4AP,1208,0.03501582704884189,0.0438375874571693,0.0041390728476821195,0.0
TRIM7,1208,0.0854072292781805,0.08467038717995876,0.0033112582781456954,0.0008278145695364238
CTR9,1208,-0.8729383540856565,-0.8596049525030365,0.9263245033112583,0.2955298013245033
RNF5,1207,-0.10287397723495835,-0.0906426118833058,0.006628003314001657,0.0
TRAIP,1208,-0.8282101379703306,-0.8152641789021617,0.8170529801324503,0.2955298013245033
SH3RF2,1208,-0.11830818293120085,-0.12217634116197305,0.0041390728476821195,0.0
CDC23,1208,-2.2292769796578527,-2.233199378481644,1.0,0.9958609271523179
RNF181,1208,-0.2691484461239742,-0.26023036221457474,0.08857615894039735,0.0
UBE2C,1208,-0.6701514881919802,-0.6523160469986342,0.7044701986754967,0.1316225165562914
STUB1,1208,-0.23358960530948802,-0.22038303982024726,0.08112582781456953,0.0016556291390728477
UBR3,1208,-0.04543478878526056,-0.042140947022778055,0.004966887417218543,0.0
ASB2,1208,0.12370460351135018,0.11876702582479651,0.0,0.0
MAPK14,1208,-0.18234846189940215,-0.1513403831325966,0.0902317880794702,0.008278145695364239
UBE2B,1208,0.04917516388907246,0.055697826027526,0.0,0.0
CBLL2,1208,0.017684852526230446,0.0191201326951951,0.0,0.0
WWP2,1208,-0.1007748923448834,-0.09409372130010515,0.004966887417218543,0.0
TRIM15,1208,0.01593033681158923,0.0186879005145894,0.0016556291390728477,0.0
HERC6,1208,0.03241711992277721,0.025268968676251502,0.0016556291390728477,0.0
UHRF2,1208,-0.010006143045865777,-0.00810447370302575,0.0,0.0
SMAD7,1208,-0.10455060477524827,-0.0621313182018717,0.048013245033112585,0.01076158940397351
RNF20,1208,-0.7334622767192078,-0.7208609029612998,0.8725165562913907,0.11920529801324503
RNF220,1208,0.0029876060468864885,0.00694361931566545,0.0024834437086092716,0.0
MAGEB18,1208,0.0380826337304883,0.04045780188707305,0.0,0.0
ASB9,1208,0.061779325518343274,0.0609216237142259,0.0008278145695364238,0.0
UBE2Q1,1208,-0.2826090747479778,-0.2453472305838175,0.1564569536423841,0.019867549668874173
RNF133,1208,0.035543037972297194,0.036848297973681846,0.0,0.0
CCNF,1208,-0.08562244496527281,-0.062013105235844995,0.06291390728476821,0.0041390728476821195
TRIM49D1,1090,-0.11045216334843244,-0.10033949339386455,0.015596330275229359,0.0
LRSAM1,1208,0.004873088758045613,0.00975879655739325,0.0,0.0
ZNRF4,1208,0.04265073431383866,0.04861993065041075,0.0008278145695364238,0.0
MED21,1208,-0.687880308725949,-0.6789548275863677,0.8336092715231788,0.07533112582781457
GID4,1208,-0.1665413777175766,-0.1622500479700679,0.009105960264900662,0.0
CCNB1IP1,1208,-0.2604483063792387,-0.25043321001220953,0.06870860927152318,0.0
RMND5A,1208,-0.4147914850549827,-0.3837197660880135,0.3170529801324503,0.0347682119205298
CCDC22,1208,-0.23777310151501205,-0.20304193180702357,0.10927152317880795,0.009933774834437087
NSMCE3,1208,-0.9487954240585458,-0.9353113550100202,0.9072847682119205,0.4105960264900662
TRIM8,1208,-0.036363691326688694,-0.0186486154451866,0.01903973509933775,0.004966887417218543
PDCD6,1208,-0.36831699775451626,-0.3493375874013401,0.23344370860927152,0.009105960264900662
FBXL3,1208,-0.018727943278525613,-0.01599808239764395,0.0016556291390728477,0.0
FBXO34,1208,0.022503541520543794,0.02365569255249625,0.0008278145695364238,0.0
KCTD5,1208,-0.056244151330086166,-0.06869023674175964,0.06788079470198675,0.0173841059602649
KCTD19,1208,-0.0032767167506790747,-0.0008733009269475999,0.0,0.0
RFFL,1208,-0.24503931945370602,-0.23656926126852373,0.07201986754966887,0.0
KCTD12,1208,0.05435453976416653,0.05043260880837375,0.0,0.0
FBXO7,1208,-0.14552881462568532,-0.10356914615917401,0.07367549668874172,0.009933774834437087
TRAF3IP2,1208,0.07173278982639182,0.0701396532919144,0.0,0.0
FBXO8,1208,0.1547316379630894,0.15929000889888,0.0016556291390728477,0.0
FBXL2,1208,-0.029366232806726875,-0.0247279694838742,0.0016556291390728477,0.0
TRIM65,1208,-0.1265330600544018,-0.12744142599864317,0.0033112582781456954,0.0
UBE2V2,1208,-0.14777003124612173,-0.14952395028900034,0.012417218543046357,0.0
RNF141,1208,0.012240900502898553,0.011926715202187299,0.0,0.0
RNF25,1208,-0.17394917234985457,-0.12506438871941344,0.076158940397351,0.008278145695364239
ZBTB46,1208,0.03682744228227431,0.03827350380657045,0.0,0.0
TRAF4,1208,-0.1831409592520696,-0.1772720489532995,0.03394039735099338,0.0008278145695364238
RNF152,1208,-0.05836360589097782,-0.0514268901334674,0.0033112582781456954,0.0
TBL1XR1,1208,-0.37116100546164216,-0.32895237473768474,0.3079470198675497,0.054635761589403975
UBE2R2,1208,-0.041556950214474975,-0.033938900754058005,0.022350993377483443,0.0016556291390728477
PDZRN3,1208,0.003915011715852719,0.00612456204722445,0.0008278145695364238,0.0
