gene_symbol,n_lines_expression,mean_log_tpm,median_log_tpm,frac_expressed,frac_high_expressed
ASB9,1775,1.665768132715493,1.3638215,0.5645070422535211,0.20788732394366197
UBE2Q1,1775,5.880931539605634,5.878306,1.0,0.9994366197183099
RNF133,1775,0.10556414767098592,0.021071736,0.011830985915492958,0.0005633802816901409
CCNF,1775,3.491736655177465,3.5957663,0.9892957746478873,0.7352112676056338
TRIM49D1,1775,0.04133393773802816,0.0,0.010140845070422535,0.0022535211267605635
LRSAM1,1775,2.8957493286197185,2.9118872,0.9994366197183099,0.4309859154929577
ZNRF4,1775,0.0055799195442253514,0.0,0.0005633802816901409,0.0005633802816901409
MED21,1775,5.062559718535211,5.0677633,1.0,0.992112676056338
GID4,1775,2.752630937949296,2.7543766,0.9994366197183099,0.331830985915493
CCNB1IP1,1775,5.787142603067042,5.7021284,0.9983098591549295,0.9971830985915493
RMND5A,1775,4.143669303661972,4.137799,1.0,0.9087323943661972
CCDC22,1775,3.0894654326647886,3.0905588,0.9966197183098592,0.5571830985915492
NSMCE3,1775,2.8797814449183097,2.8645527,0.9966197183098592,0.4084507042253521
TRIM8,1775,4.719298315267605,4.6735225,1.0,0.9808450704225352
PDCD6,1775,6.984636346478874,6.9410357,1.0,1.0
FBXL3,1775,4.643188031605635,4.6721706,0.9994366197183099,0.9819718309859155
FBXO34,1775,4.013945565859155,3.9938464,1.0,0.9622535211267605
KCTD5,1775,4.534972281577465,4.527177,0.9994366197183099,0.9892957746478873
KCTD19,1775,0.31761697632169017,0.08981947,0.0895774647887324,0.0067605633802816905
RFFL,1775,3.5015424607887327,3.4664574,0.9988732394366198,0.6907042253521126
KCTD12,1775,2.3730634936061974,2.3291953,0.7346478873239437,0.36225352112676057
FBXO7,1775,5.944904413577464,5.902358,1.0,1.0
TRAF3IP2,1775,3.906237123701972,4.065159,0.9616901408450704,0.8095774647887324
FBXO8,1775,3.7153559116732393,3.6920588,0.9994366197183099,0.8529577464788732
FBXL2,1775,2.3389453582433806,2.5042136,0.8326760563380282,0.3008450704225352
TRIM65,1775,3.806057409406197,3.8213327,0.9949295774647887,0.8845070422535212
UBE2V2,1775,6.647206517746479,6.6890197,1.0,1.0
RNF141,1775,4.369974604591549,4.3442674,0.9994366197183099,0.9605633802816902
RNF25,1775,4.313168106873239,4.3231106,1.0,0.9814084507042253
ZBTB46,1775,1.1377297614095774,0.95473087,0.4788732394366197,0.023661971830985916
TRAF4,1775,5.696084537802817,5.740739,1.0,0.9909859154929578
RNF152,1775,0.9492871699780281,0.5518359,0.363943661971831,0.056338028169014086
TBL1XR1,1775,5.618098494873239,5.5997524,0.9994366197183099,0.9977464788732394
UBE2R2,1775,4.725677617915492,4.7428417,1.0,0.9960563380281691
PDZRN3,1775,1.2500710780529578,0.18825406,0.36338028169014086,0.19380281690140846
RFPL4B,1775,0.14336600788394366,0.0,0.02873239436619718,0.011830985915492958
COMMD3,1775,5.837279064112676,5.8202558,1.0,0.9977464788732394
FBXO45,1775,3.9992166348732394,4.0131674,1.0,0.9228169014084507
UBE2M,1775,6.3237745173295785,6.355115,0.9988732394366198,0.9988732394366198
ZNRF3,1775,2.177827465977465,2.122388,0.9154929577464789,0.15492957746478872
SOCS2,1775,3.1568509979549293,3.131387,0.8687323943661972,0.5335211267605634
DTX1,1775,1.0582204214005635,0.30129966,0.27098591549295775,0.10591549295774648
BIRC3,1775,2.9086739799847887,2.5832615,0.7397183098591549,0.4456338028169014
FBXO39,1775,0.1824325999740845,0.0,0.04732394366197183,0.0022535211267605635
UBE3C,1775,5.334118359633802,5.3948812,0.9988732394366198,0.9954929577464788
MARCHF5,1775,5.039487865577465,5.1305685,1.0,0.9881690140845071
PRAMEF15,1775,0.01346243653915493,0.0,0.0016901408450704226,0.0
PRAMEF17,1775,0.0014559845346478872,0.0,0.0,0.0
DAW1,1775,0.4651929898287324,0.07809059,0.15098591549295776,0.03492957746478873
CRBN,1775,4.827311087774648,4.8473606,1.0,0.9932394366197184
TRIM52,1775,3.3885518863605637,3.4616463,0.9977464788732394,0.6794366197183098
TRIM3,1775,3.0796460234929577,3.043264,0.9814084507042253,0.5138028169014085
FBXO25,1775,3.1136980433571835,3.1647606,0.9633802816901409,0.5757746478873239
HECTD1,1775,5.879138897239437,5.902971,1.0,1.0
SPSB2,1775,3.0102321617802814,2.9880738,0.9954929577464788,0.49577464788732395
HECW2,1775,1.1555125442005636,0.712513,0.41295774647887323,0.08619718309859155
MED6,1775,5.325665931098592,5.344232,1.0,0.9960563380281691
ASB15,1775,0.03360226489295774,0.0,0.0067605633802816905,0.0016901408450704226
TRIM61,1775,0.5392098081549296,0.022163248,0.19774647887323943,0.05070422535211268
